index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
12875,Nauru Airlines,6.843999999999999,38.531,0.136,0.054000000000000006,44136,11,40,40,Nauru,2020,42844
13157,Qantas Airways,892.785,553.354,1.082,0.0,44136,11,0,0,Hong Kong (SAR),2020,42853
13236,Emirates,793.0110000000001,532.272,0.3,5.209,44075,9,0,0,Singapore,2020,42665
13417,Polar Air Cargo,832.245,518.882,0.0,10.537,44136,11,0,0,Japan,2020,42849
13818,Qatar Airways,13.79,134.545,0.0,0.0,44044,8,475,258,New Zealand,2020,42628
13826,Qantas Airways,0.0,0,0.0,0.0,44075,9,0,0,Korea,2020,42696
13910,Qantas Airways,0.0,209.99,0.0,0.0,44075,9,0,0,Thailand,2020,42699
13961,Qantas Airways,0.0,154.016,0.0,0.0,44136,11,0,0,Thailand,2020,42858
14472,United Airlines,0.0,62.247,0.0,48.45,44075,9,0,0,New Zealand,2020,42710
14482,Qantas Airways,0.0,0,0.0,0.0,44105,10,0,0,Korea,2020,42776
14503,Philippine Airlines,15.508,16.559,0.0,0.0,44105,10,59,155,Philippines,2020,42768
14513,Korean Air,6.37,9.623,0.027000000000000003,0.0,44136,11,33,63,Korea,2020,42839
14570,Air China,1428.692,1191.245,29.559,1.43,44136,11,0,0,China,2020,42802
14663,Emirates,0.0,26.962,0.0,0.0,44044,8,0,0,Vietnam,2020,42592
14815,Tasman Cargo Airlines,1177.633,1142.689,0.0,0.0,44044,8,0,0,New Zealand,2020,42636
14910,Malindo Air,0.7070000000000001,4.56,0.0,0.0,44136,11,30,168,Malaysia,2020,42843
15109,Kalitta Air,0.0,855.277,0.0,0.0,44044,8,0,0,Singapore,2020,42606
15170,Asiana Airlines,46.236999999999995,46.776,0.0,0.0,44105,10,188,778,Korea,2020,42730
15194,Hong Kong Airlines,59.175,3.766,0.0,0.0,44044,8,0,0,Hong Kong (SAR),2020,42603
15196,Fiji Airways,267.78700000000003,180.909,1.5019999999999998,10.888,44136,11,287,134,Fiji,2020,42830
15272,United Parcel Service,1541.2320000000002,0,0.0,0.0,44044,8,0,0,USA,2020,42642
15294,Air New Zealand,0.0,1.251,0.0,0.0,44105,10,0,298,Western Samoa,2020,42725
15330,Qantas Airways,0.0,0,0.0,0.0,44013,7,0,0,Korea,2020,42546
15630,United Parcel Service,0.0,227.653,0.0,0.0,44044,8,0,0,Korea,2020,42640
15795,Nauru Airlines,8.232000000000001,117.126,0.0,0.0,44044,8,28,97,Nauru,2020,42614
15807,AirAsia X,55.538000000000004,1.007,0.0,0.0,44013,7,0,0,Malaysia,2020,42508
15814,Hong Kong Airlines,280.836,131.224,0.0,0.0,44105,10,0,0,Hong Kong (SAR),2020,42755
15826,Air China,1096.0919999999999,859.615,55.556999999999995,36.881,44044,8,0,0,China,2020,42569
15852,Nauru Airlines,0.0,14.995,0.0,0.0,44105,10,0,0,Solomon Islands,2020,42767
15935,Cebu Pacific Air,171.467,61.919,0.0,0.0,44044,8,0,0,Philippines,2020,42582
16166,United Parcel Service,0.0,22.853,0.0,0.0,44105,10,0,0,Singapore,2020,42795
16266,LATAM Airlines,5.119,25.993,0.0,0.0,44105,10,0,0,New Zealand,2020,42763
16387,Hong Kong Airlines,156.106,46.057,0.0,0.0,44075,9,0,0,Hong Kong (SAR),2020,42677
16392,China Airlines,711.113,972.7,43.736999999999995,0.221,44013,7,151,744,Taiwan,2020,42513
16441,Polar Air Cargo,883.6419999999999,624.148,0.0,0.0,44044,8,0,0,Japan,2020,42618
16481,Garuda Indonesia,229.31900000000002,147.368,11.267000000000001,0.0,44013,7,434,1403,Indonesia,2020,42529
16484,Federal Express Corporation,4115.706,0,0.0,0.0,44136,11,0,0,USA,2020,42829
16540,Qantas Airways,0.0,294.645,0.0,0.0,44044,8,0,0,Thailand,2020,42626
16553,Singapore Airlines,143.17600000000002,462.395,0.0,0.0,44044,8,0,0,New Zealand,2020,42632
16584,Delta Air Lines,235.35,358.544,82.781,0.0,44105,10,652,497,USA,2020,42736
16686,Qantas Airways,975.9810000000001,513.793,0.731,0.0,44013,7,0,0,Hong Kong (SAR),2020,42544
